output_dir,experiment_name,order_mode,learning_rate,epochs,max_train_examples,optimizer,model,batch_size,momentum,weight_decay,epoch,seed,seed_count,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,test_loss_mean,test_loss_std,test_accuracy_mean,test_accuracy_std,grad_norm_mean_mean,grad_norm_mean_std,grad_norm_std_mean,grad_norm_std_std,grad_cosine_mean_mean,grad_cosine_mean_std,grad_cosine_std_mean,grad_cosine_std_std,epoch_time_sec_mean,epoch_time_sec_std
results_adamw_lr0p01,results_adamw_lr0p01,curriculum_hard,0.01,10,20000,adamw,small_cnn,128,0.9,0.0005,1,"0,1,2",3,1.800020043006974,0.813540711874461,0.36251666666666665,0.308750912279354,2.520143849690755,0.6962068199877679,0.3016666666666667,0.3492969128597236,1.3195150295893352,0.9699295044454781,5.535672664642334,2.176116258620066,0.5102602243423462,0.15292808056923846,0.2999897499879201,0.05008454520426261,9.510687112808228,0.14302968979855657
results_adamw_lr0p01,results_adamw_lr0p01,curriculum_hard,0.01,10,20000,adamw,small_cnn,128,0.9,0.0005,2,"0,1,2",3,2.317309043502808,0.09192701154904513,0.1415,0.05102663520162779,2.6238006696065264,0.40239312973641295,0.10000000000000002,0.0,0.40440715352694195,0.08621389087283508,1.0814231634140015,1.3630718506882007,0.647352953751882,0.19403470056905062,0.25933010876178736,0.06970155821811969,9.593338092168173,0.05737612307847365
results_adamw_lr0p01,results_adamw_lr0p01,curriculum_hard,0.01,10,20000,adamw,small_cnn,128,0.9,0.0005,3,"0,1,2",3,2.3509188143412274,0.01921952805910585,0.10173333333333334,0.01744285909285899,2.36337355410258,0.054880017744238105,0.10000000000000002,0.0,0.2964875002702077,0.052180577367773165,0.208929161230723,0.11559834868919623,0.7816312114397684,0.024916109433772878,0.19419622917970017,0.034437564292405194,9.653436183929443,0.04077535141867718
results_adamw_lr0p01,results_adamw_lr0p01,curriculum_hard,0.01,10,20000,adamw,small_cnn,128,0.9,0.0005,4,"0,1,2",3,2.334849916712443,0.013933689850135602,0.0894,0.0022983689869122428,2.32838579788208,0.00416486597970005,0.10000000000000002,0.0,0.24302861591180158,0.02601915922636245,0.12119201322396593,0.0367997373718425,0.798084040482839,0.004837181634474701,0.17053731779257453,0.008831735262354026,9.418362617492676,0.07565228938917797
results_adamw_lr0p01,results_adamw_lr0p01,curriculum_hard,0.01,10,20000,adamw,small_cnn,128,0.9,0.0005,5,"0,1,2",3,2.327517816925049,0.0025648716780586112,0.08515,0.0006873863542433805,2.3254232748667403,0.0008632871441329376,0.10000000000000002,0.0,0.2209906031688054,0.007200388920288525,0.09396108239889141,0.003543847994516113,0.7955790956815084,0.001573682262933987,0.16546902060508728,0.004327631174802359,9.484956582387289,0.12110350632846814
results_adamw_lr0p01,results_adamw_lr0p01,curriculum_hard,0.01,10,20000,adamw,small_cnn,128,0.9,0.0005,6,"0,1,2",3,2.3255219243367513,0.0014088270064047468,0.08348333333333334,0.0006788470618138767,2.3256632728576663,0.0010008770058578386,0.10000000000000002,0.0,0.21474755307038618,0.002139677280567664,0.09089071055253344,0.0003905098819987301,0.7950648069381714,0.0008565153877289381,0.16451327006022134,0.0009075982137265114,9.656275033950806,0.1769411330692768
results_adamw_lr0p01,results_adamw_lr0p01,curriculum_hard,0.01,10,20000,adamw,small_cnn,128,0.9,0.0005,7,"0,1,2",3,2.326949802780151,0.00047830442333080377,0.08275,0.0003500000000000021,2.324677009709676,0.0008978120449057636,0.10000000000000002,0.0,0.2137873818476994,0.00018137488245735457,0.09111797064542763,0.00010121342916783612,0.795117457707723,9.43849728738006e-05,0.1649953673283259,0.00020373888380474585,9.591277122497559,0.18054683185342288
results_adamw_lr0p01,results_adamw_lr0p01,curriculum_hard,0.01,10,20000,adamw,small_cnn,128,0.9,0.0005,8,"0,1,2",3,2.326611096445719,0.00036503527669271474,0.08248333333333334,0.00025166114784235406,2.324311744944254,0.0007525414503311938,0.10000000000000002,0.0,0.21365566054979956,0.00016079431212213707,0.09100962181886034,0.00012029045008980854,0.7951348821322123,5.731132531170503e-05,0.16476354002952573,0.00013379345872380674,9.628907521565756,0.11498201446997479
results_adamw_lr0p01,results_adamw_lr0p01,curriculum_hard,0.01,10,20000,adamw,small_cnn,128,0.9,0.0005,9,"0,1,2",3,2.326499735005697,0.00032669221537998935,0.08191666666666667,0.0001892969448600121,2.3240681219736734,0.0006004951966862886,0.10000000000000002,0.0,0.21360490719477332,0.00014040731660822605,0.09097451965014136,0.00010680956419471069,0.7951491673787435,5.1874547064141775e-05,0.16465385258197784,0.00011991549926811676,9.594177961349487,0.03747375308853034
results_adamw_lr0p01,results_adamw_lr0p01,curriculum_hard,0.01,10,20000,adamw,small_cnn,128,0.9,0.0005,10,"0,1,2",3,2.3264313142140707,0.0002653314936466001,0.08206666666666666,0.0001527525231651911,2.3238899940490723,0.00047953216047132434,0.10000000000000002,0.0,0.21357178688049314,0.00011336904892208583,0.09095489978790279,8.647281251105438e-05,0.7951571146647135,4.3181182670763226e-05,0.16457997262477872,9.640779981525483e-05,9.601011355717976,0.08210656599101464
