order_mode,epoch,class_id,class_accuracy_mean,class_accuracy_std
label_sorted,5,2,0.0,0.0
label_sorted,5,3,0.0,0.0
label_sorted,5,4,0.0,0.0
label_sorted,5,5,0.0,0.0
label_sorted,5,6,0.0,0.0
label_sorted,5,7,0.0,0.0
label_sorted,5,8,0.0,0.0
label_sorted,5,9,0.0,0.0
label_sorted,6,0,1.0,0.0
label_sorted,6,1,0.0,0.0
label_sorted,6,2,0.0,0.0
label_sorted,6,3,0.0,0.0
label_sorted,6,4,0.0,0.0
label_sorted,6,5,0.0,0.0
label_sorted,6,6,0.0,0.0
label_sorted,6,7,0.0,0.0
label_sorted,6,8,0.0,0.0
label_sorted,6,9,0.0,0.0
label_sorted,7,0,1.0,0.0
label_sorted,7,1,0.0,0.0
label_sorted,7,2,0.0,0.0
label_sorted,7,3,0.0,0.0
label_sorted,7,4,0.0,0.0
label_sorted,7,5,0.0,0.0
label_sorted,7,6,0.0,0.0
label_sorted,7,7,0.0,0.0
label_sorted,7,8,0.0,0.0
label_sorted,7,9,0.0,0.0
label_sorted,8,0,1.0,0.0
label_sorted,8,1,0.0,0.0
label_sorted,8,2,0.0,0.0
label_sorted,8,3,0.0,0.0
label_sorted,8,4,0.0,0.0
label_sorted,8,5,0.0,0.0
label_sorted,8,6,0.0,0.0
label_sorted,8,7,0.0,0.0
label_sorted,8,8,0.0,0.0
label_sorted,8,9,0.0,0.0
label_sorted,9,0,1.0,0.0
label_sorted,9,1,0.0,0.0
label_sorted,9,2,0.0,0.0
label_sorted,9,3,0.0,0.0
label_sorted,9,4,0.0,0.0
label_sorted,9,5,0.0,0.0
label_sorted,9,6,0.0,0.0
label_sorted,9,7,0.0,0.0
label_sorted,9,8,0.0,0.0
label_sorted,9,9,0.0,0.0
label_sorted,10,0,1.0,0.0
label_sorted,10,1,0.0,0.0
label_sorted,10,2,0.0,0.0
label_sorted,10,3,0.0,0.0
label_sorted,10,4,0.0,0.0
label_sorted,10,5,0.0,0.0
label_sorted,10,6,0.0,0.0
label_sorted,10,7,0.0,0.0
label_sorted,10,8,0.0,0.0
label_sorted,10,9,0.0,0.0
