order_mode,test_accuracy_mean,test_accuracy_std
random,0.8957,0.004158124577258415
fixed_random,0.8817333333333334,0.003569780572154711
curriculum_hard,0.8511666666666667,0.0006110100926607931
curriculum_easy,0.7212666666666667,0.02945884134404021
label_sorted,0.10000000000000002,0.0
label_block_random,0.10000000000000002,0.0
