output_dir,experiment_name,order_mode,learning_rate,epochs,max_train_examples,optimizer,model,batch_size,momentum,weight_decay,epoch,seed,seed_count,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,test_loss_mean,test_loss_std,test_accuracy_mean,test_accuracy_std,grad_norm_mean_mean,grad_norm_mean_std,grad_norm_std_mean,grad_norm_std_std,grad_cosine_mean_mean,grad_cosine_mean_std,grad_cosine_std_mean,grad_cosine_std_std,epoch_time_sec_mean,epoch_time_sec_std
results_v3_main,results_v3_main,curriculum_easy,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,1,"0,1,2",3,0.6363127161661785,0.00787404972394678,0.7681333333333334,0.00418847625435953,1.518912431907654,0.09147384493238604,0.46269999999999994,0.02470546498246896,1.6176665623982747,0.03301668533059716,1.0617366234461467,0.11917847809034825,0.3023013075192769,0.028175313783886425,0.3455875813961029,0.036031974373609214,10.219558238983153,0.3081713830384636
results_v3_main,results_v3_main,curriculum_easy,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,2,"0,1,2",3,0.4299845857938131,0.014774663044885257,0.8438166666666667,0.0035921210076128064,1.3019647055943808,0.23577511032863724,0.5472,0.07818925757417064,1.1948328415552776,0.04542919287854514,0.613978385925293,0.1073279194116399,0.3177564740180969,0.022353122281895236,0.3047389288743337,0.017048784455940883,9.48035709063212,0.23760542712258775
results_v3_main,results_v3_main,curriculum_easy,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,3,"0,1,2",3,0.35083049443562825,0.031211780673163724,0.8719,0.009304165733691569,1.0725377671877545,0.14781652386772792,0.6341,0.04027095727692601,1.1214311122894287,0.05069864107409747,0.4946895142396291,0.12425107415416212,0.2824010749657948,0.030023522094908824,0.29342596729596454,0.024177343851112393,9.61138908068339,0.22832232087297435
results_v3_main,results_v3_main,curriculum_easy,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,4,"0,1,2",3,0.2887704271237055,0.014046853876217418,0.8936999999999999,0.005433461143691077,0.9381420717239379,0.24838498377076165,0.6797333333333334,0.061075390570452665,1.0051877697308857,0.05815478444368803,0.37031737963358563,0.02486278262948652,0.26115832726160687,0.01512325607714267,0.27346414327621454,0.01594467743844045,9.486465374628702,0.25038648648578277
results_v3_main,results_v3_main,curriculum_easy,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,5,"0,1,2",3,0.250301196082433,0.007571925909109264,0.9079833333333333,0.002942929379603485,0.845711446428299,0.07734884646366909,0.7133666666666666,0.020757247730210596,0.9722975691159567,0.05551338655098579,0.3406020601590474,0.04768061973539878,0.2201772381862004,0.039260909533099575,0.2722655733426412,0.016280840497675232,9.488232056299845,0.16557476894651746
results_v3_main,results_v3_main,curriculum_easy,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,6,"0,1,2",3,0.22695063473383584,0.004059917634918296,0.9171833333333334,0.0013841363131329287,0.8727142076174418,0.2013595943246582,0.7085333333333333,0.04322387457567091,0.9866859118143717,0.03821636881653806,0.39747425913810724,0.08086765995756912,0.21644184490044913,0.021446516446788633,0.2726725141207377,0.017439325472981035,9.49487829208374,0.13461967678595899
results_v3_main,results_v3_main,curriculum_easy,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,7,"0,1,2",3,0.20226978245973584,0.011181747366337817,0.9261333333333334,0.004777638886870083,0.9118182819048565,0.1540136945153302,0.7138666666666666,0.03151449401994788,0.9439649979273478,0.031277230874528626,0.3606911400953929,0.02472132944000767,0.21547024945418036,0.03463085106695761,0.275321364402771,0.004484967618044649,9.558125019073485,0.06858674209670082
results_v3_main,results_v3_main,curriculum_easy,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,8,"0,1,2",3,0.18536353196700414,0.018602869645682727,0.93185,0.0075958870449737426,0.9814720713297526,0.16605291669746367,0.7062333333333334,0.038888601586240315,0.9570188721021017,0.011389359628160187,0.32657430569330853,0.0645633868150954,0.21773098409175864,0.00977461896388357,0.26665907104810077,0.01067484808062384,9.549613793691,0.19408026153020275
results_v3_main,results_v3_main,curriculum_easy,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,9,"0,1,2",3,0.17765948557655012,0.02164231175772284,0.9356333333333334,0.008593068912404493,0.9917587828795115,0.31561342273125487,0.7094666666666667,0.05796208530870275,0.9830638567606608,0.02134908158650767,0.3579842547575633,0.04153011751664595,0.2548454850912094,0.010863599279432794,0.25922061006228125,0.007347886086341867,9.503110567728678,0.09159691889633764
results_v3_main,results_v3_main,curriculum_easy,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,10,"0,1,2",3,0.1747792754809062,0.016611409366041475,0.9351833333333334,0.007102875004766232,0.9951555787086486,0.2594273782041081,0.7212666666666667,0.02945884134404021,0.9571749369303385,0.01738462685279057,0.35284995039304096,0.05364475976028609,0.2519048601388931,0.012139493936948575,0.24486734469731644,0.012149139842592882,9.450877825419107,0.16452220290524996
results_v3_main,results_v3_main,curriculum_hard,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,1,"0,1,2",3,0.6128658262753451,0.005636157008526626,0.7686000000000001,0.0028412145290350284,1.178356474240621,0.07151424455581452,0.7766333333333334,0.0010969655114603043,1.2954285144805908,0.04950671430319819,0.6948962012926737,0.08547436118438109,0.2625550031661987,0.04161646079875731,0.3657286465167999,0.03995019725538512,9.906909704208374,0.1953704077191739
