order_mode,learning_rate,test_accuracy_mean,test_accuracy_std,final_train_loss_mean
label_block_random,0.001,0.4000333333333333,0.059368875122688104,1.3665831427454949
label_block_random,0.05,0.10000000000000002,0.0,3.2630404231071477
label_block_random,0.1,0.10000000000000002,0.0,4.7752409727334975
label_sorted,0.001,0.31953333333333334,0.08416188765310181,1.5722549067020415
label_sorted,0.05,0.10000000000000002,0.0,
label_sorted,0.1,0.10000000000000002,0.0,4.804492919850349
