order_mode,epoch,forgetting_mean,forgetting_std
curriculum_easy,1,0.0,0.0
curriculum_easy,2,0.0405,0.08954241915196512
curriculum_easy,3,0.03636666666666667,0.07331156155389998
curriculum_easy,4,0.05963333333333334,0.11767649498206673
curriculum_easy,5,0.06493333333333333,0.09502265912468687
curriculum_easy,6,0.08343333333333333,0.11428358054247863
curriculum_easy,7,0.09043333333333334,0.09618505272554614
curriculum_easy,8,0.1134,0.11840683810635612
curriculum_easy,9,0.12353333333333331,0.15879519087075078
curriculum_easy,10,0.11353333333333333,0.11170056442092861
curriculum_hard,1,0.0,0.0
curriculum_hard,2,0.014100000000000001,0.031281094874568004
curriculum_hard,3,0.030333333333333337,0.054910794952348393
curriculum_hard,4,0.02403333333333333,0.04629923908910259
curriculum_hard,5,0.021666666666666664,0.04883493191059701
curriculum_hard,6,0.023433333333333327,0.04036871726143072
curriculum_hard,7,0.02366666666666666,0.029909441864462764
curriculum_hard,8,0.01583333333333334,0.018341743107727942
curriculum_hard,9,0.0168,0.021538097761232642
curriculum_hard,10,0.016366666666666665,0.026189604851903574
fixed_random,1,0.0,0.0
fixed_random,2,0.008100000000000003,0.026815268424717573
fixed_random,3,0.010366666666666668,0.022911348390207666
fixed_random,4,0.02206666666666666,0.03830272641176752
fixed_random,5,0.032299999999999995,0.05359307083363772
fixed_random,6,0.03173333333333332,0.05162993874403342
fixed_random,7,0.03406666666666667,0.05756251973429342
fixed_random,8,0.03696666666666667,0.05542281575080003
fixed_random,9,0.0387,0.05211403279149584
fixed_random,10,0.04236666666666666,0.05246048321213383
random,1,0.0,0.0
random,2,0.02250000000000001,0.056271356099185856
random,3,0.02503333333333334,0.04620530148216189
random,4,0.03220000000000001,0.06858641667068005
random,5,0.034633333333333335,0.04981031836971085
random,6,0.0307,0.060853781793909
random,7,0.044100000000000014,0.05982004623062811
random,8,0.04236666666666668,0.05875283314274173
random,9,0.04213333333333334,0.05355675902051588
random,10,0.0427,0.0523628915721153
