output_dir,experiment_name,order_mode,learning_rate,epochs,max_train_examples,optimizer,model,batch_size,momentum,weight_decay,epoch,seed,seed_count,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,test_loss_mean,test_loss_std,test_accuracy_mean,test_accuracy_std,grad_norm_mean_mean,grad_norm_mean_std,grad_norm_std_mean,grad_norm_std_std,grad_cosine_mean_mean,grad_cosine_mean_std,grad_cosine_std_mean,grad_cosine_std_std,epoch_time_sec_mean,epoch_time_sec_std
results_v3_lr0p1,results_v3_lr0p1,curriculum_hard,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,1,"0,1,2",3,0.5783320660632647,0.011873194138797755,0.7813,0.004784349485562341,1.23889975605011,0.11196599625907129,0.7752333333333333,0.007617304860207084,1.0685311953226726,0.029695577695285965,0.6436397234598795,0.030374814531180135,0.2406309594710668,0.022393943218882557,0.3533889551957448,0.01294765676012921,10.310458183288574,0.07045681575533355
results_v3_lr0p1,results_v3_lr0p1,curriculum_hard,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,2,"0,1,2",3,0.5356900228750795,0.04753541296704793,0.8112166666666667,0.015482355548602196,1.2398610719045005,0.046417140141781305,0.7754666666666666,0.008386497083606082,1.105997641881307,0.11333251288083598,1.2133313814798992,0.21559552688848233,0.2434484859307607,0.037316928739689254,0.30849725008010864,0.011647953413340219,10.291270017623901,0.12824851819782132
results_v3_lr0p1,results_v3_lr0p1,curriculum_hard,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,3,"0,1,2",3,0.49368741678501976,0.03991916413132066,0.8233166666666666,0.015242566494305783,1.0466634974161784,0.0689682546133509,0.7902999999999999,0.013721880337621431,0.9379642407099406,0.05050462561215611,0.8982770045598348,0.09322579387475408,0.2335213472445806,0.04431334232062273,0.2860366900761922,0.02451228047180674,10.408482948939005,0.14084119375025628
results_v3_lr0p1,results_v3_lr0p1,curriculum_hard,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,4,"0,1,2",3,0.4522306107629658,0.00012114844911832951,0.60065,0.4092419913694097,0.9896156610488891,0.022098563198171706,0.5695,0.40659895474533625,0.7882198691368103,0.01824983828630818,0.6111840009689331,0.06387649919765567,0.15688985896607235,0.15792714735587987,0.23259583115577698,0.11005404259610535,10.346222241719564,0.06339562548603744
results_v3_lr0p1,results_v3_lr0p1,curriculum_hard,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,5,"0,1,2",3,0.39877620712632994,0.02323628595088214,0.6042333333333333,0.43672431903127784,1.0109578367710115,0.010560041318745925,0.5586,0.39717295980466744,0.7274891138076782,0.0021181320187634903,0.4603895992040634,0.02321509528910384,0.21164932847023005,0.028129523192595363,0.28875212371349335,0.007145639916809741,10.389147043228151,0.09372175664488908
results_v3_lr0p1,results_v3_lr0p1,curriculum_hard,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,6,"0,1,2",3,0.3836633375788471,0.002108601982250016,0.60675,0.43885837977643766,0.8085238701820374,0.12282679341479925,0.5714333333333333,0.40853600004569157,0.7064227163791656,0.0567414170663979,0.51326684653759,0.13849641974155652,0.2136609181761741,0.012017488966593121,0.27086175978183746,0.005017856269737255,10.446346839269003,0.18314771964150361
results_v3_lr0p1,results_v3_lr0p1,curriculum_hard,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,7,"0,1,2",3,0.34558035298623435,0.001414609781986039,0.6160166666666668,0.44688379455215577,0.9576543217182159,0.06695282565597312,0.5681333333333334,0.40541540835707435,0.6783678233623505,0.0032390274549107174,0.3920157104730606,0.01775206293197021,0.1830228194594383,0.04316725532347916,0.27960632741451263,0.005322282956531502,10.20322879155477,0.19715136576590708
results_v3_lr0p1,results_v3_lr0p1,curriculum_hard,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,8,"0,1,2",3,0.34980582003366767,0.01038513292728926,0.6150333333333333,0.44603814111949364,0.8510522323131562,0.07443002198365875,0.5755666666666667,0.41189435943374286,0.6699793338775635,0.011570911496483826,0.41410037875175476,0.044114136958837036,0.22257004678249354,0.006952143735296235,0.24437809735536575,0.017403645472042834,10.388934055964151,0.1433305715966845
results_v3_lr0p1,results_v3_lr0p1,curriculum_hard,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,9,"0,1,2",3,0.3215478499567551,0.018853806294641617,0.6213666666666667,0.4515387063512201,0.7929963329792022,0.14258865825337044,0.5862999999999999,0.42133809464609295,0.6623896956443787,0.00867373712984497,0.3307535648345947,0.02297943118565516,0.19589283317327494,0.007516711307811848,0.26194506883621216,0.013392624729670198,10.345094203948975,0.037656924514555774
results_v3_lr0p1,results_v3_lr0p1,curriculum_hard,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,10,"0,1,2",3,0.3067850318057719,0.019454783840851305,0.6252166666666666,0.4548674816178151,0.7987979506731033,0.022753016865603014,0.5863999999999999,0.4212370828880097,0.6841300129890442,0.027151421279203045,0.35801713168621063,0.046544429611096456,0.18811428546905515,0.012100507721447426,0.2539456710219383,0.006896583652246799,10.395127852757772,0.148161599494122
results_v3_lr0p1,results_v3_lr0p1,fixed_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,1,"0,1,2",3,1.026741859292984,0.34072469496009367,0.6577166666666666,0.09576044764584869,0.4763322275797526,0.06698613932753007,0.8266333333333332,0.024749612791583865,1.8065604368845622,0.6641183242030206,3.313578426837921,2.994314730253066,0.2260718892018,0.028512831661635926,0.27024155358473456,0.027325590867763087,10.481421947479248,0.5382867377614657
results_v3_lr0p1,results_v3_lr0p1,fixed_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,2,"0,1,2",3,0.4088242067019145,0.05659831938566346,0.8506,0.01892168068645065,0.41581632607777913,0.03964702632994621,0.8456,0.014272701215957688,0.7849893967310587,0.08251491947062586,0.20328730841477707,0.03079787863820019,0.19283268352349592,0.028116506330392373,0.235112984975179,0.021722385920232505,10.686172246932983,0.5684764136431875
results_v3_lr0p1,results_v3_lr0p1,fixed_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,3,"0,1,2",3,0.34742556996345514,0.04385825022505778,0.8710999999999999,0.016992056967889423,0.4017808046340942,0.006241154872389387,0.8538,0.0013453624047073383,0.7604134678840637,0.05644236390627345,0.19945867856343583,0.017955847297331736,0.1790646662314733,0.014229797366261707,0.21311667561531064,0.0020108750687211803,10.773093461990356,0.5329801265889755
results_v3_lr0p1,results_v3_lr0p1,fixed_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,4,"0,1,2",3,0.3138293813705444,0.046772363315524236,0.8849666666666667,0.016895364255716236,0.41532474068800607,0.040461270231424463,0.8534333333333333,0.011619954102032204,0.7532557050387064,0.05874882535394265,0.18993467589219412,0.007444976536684865,0.17874476810296372,0.01800542175471848,0.19734620054562882,0.017777607498818612,10.260621786117554,0.273660393688843
results_v3_lr0p1,results_v3_lr0p1,fixed_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,5,"0,1,2",3,0.29030148055553434,0.04761552528929598,0.89475,0.015838165929172504,0.38323911289771395,0.0019230191662856341,0.8636666666666667,0.0041356176483487205,0.7595133980115255,0.05985650205601255,0.2011649409929911,0.01921668023072394,0.16868120431900022,0.02982680918220687,0.19812886913617447,0.016041529965341514,10.314101378122965,0.09173379251373912
results_v3_lr0p1,results_v3_lr0p1,fixed_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,6,"0,1,2",3,0.27039532959461215,0.045449354334604154,0.9002833333333333,0.016225391623419582,0.40024784807761504,0.024432183728531714,0.8627333333333334,0.005217598425840498,0.7645251949628195,0.05333149552692253,0.18653118113676703,0.013555180815478136,0.15799923986196518,0.05060459440377595,0.19382048646608988,0.013772032432096525,10.5940523147583,0.32830123733598787
results_v3_lr0p1,results_v3_lr0p1,fixed_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,7,"0,1,2",3,0.2550761862715085,0.04466663808439837,0.9052333333333333,0.015555492063362486,0.371767885351181,0.011486592744129132,0.8670666666666667,0.006351640208114198,0.7588387727737427,0.06086511475332065,0.19889406859874725,0.025966875717818128,0.15650909145673111,0.008195034243669045,0.18241374194622037,0.004156307919623282,10.35356879234314,0.17541792340555928
results_v3_lr0p1,results_v3_lr0p1,fixed_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,8,"0,1,2",3,0.2378878691911697,0.05026803531928038,0.9108,0.019303108557949884,0.3956132345120112,0.01669927491002069,0.8653666666666666,0.006841296173484504,0.7562313477198283,0.04007903733495075,0.17303731540838874,0.006729836926384653,0.14148616790771482,0.024369003519540914,0.16541413466135657,0.022189519634157422,10.552077372868856,0.30498274023378774
results_v3_lr0p1,results_v3_lr0p1,fixed_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,9,"0,1,2",3,0.22684365491072334,0.047860045169732274,0.9159666666666667,0.016365919874340475,0.40655198845863344,0.007447980006471799,0.8644333333333334,0.004895235779135985,0.7834349473317465,0.05479527802082875,0.1775578409433364,0.01583555718079465,0.13351824134588236,0.012633423629108699,0.17219190796216322,0.017397010760183188,10.316047112147013,0.1553265131949274
results_v3_lr0p1,results_v3_lr0p1,fixed_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,10,"0,1,2",3,0.21921041985750192,0.04835433375347964,0.9192333333333332,0.016807463619872356,0.4444597208738326,0.0664992398565062,0.8595333333333333,0.012843026642241833,0.7862709164619446,0.05951958269168307,0.19872547686099998,0.019529868730225844,0.15598966181278226,0.013031461607958802,0.161138708392779,0.021429261840658794,10.415313561757406,0.17535868784068082
results_v3_lr0p1,results_v3_lr0p1,label_block_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,1,"0,1,2",3,1729644876.0842466,,0.5605166666666667,0.07691946004317332,6.910243357849121,,0.10000000000000002,0.0,241689051136.0,,2170205110272.0,,0.4361865818500519,0.2904728724484489,0.344678928454717,0.12757299465219935,10.268327077229818,0.08551940535209354
results_v3_lr0p1,results_v3_lr0p1,label_block_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,2,"0,1,2",3,4.762778463682532,,0.1272,0.04711178196587347,7.049930516815185,,0.10000000000000002,0.0,1.1412951946258545,,0.4274910390377044,,0.9089630246162416,,0.3461172878742218,,10.319058020909628,0.07178892037100311
results_v3_lr0p1,results_v3_lr0p1,label_block_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,3,"0,1,2",3,4.826266009956599,,0.12293333333333334,0.039721698520246256,6.826531922149658,,0.10000000000000002,0.0,1.1502935886383057,,0.4206542074680328,,0.9087177515029908,,0.3480428457260132,,10.293903430302938,0.015796979505684417
results_v3_lr0p1,results_v3_lr0p1,label_block_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,4,"0,1,2",3,4.563564974915981,,0.1272,0.04711178196587347,6.899414877319336,,0.10000000000000002,0.0,1.1340323686599731,,0.4333108067512512,,0.9044985175132751,,0.3670405745506286,,10.313918511072794,0.03895943942716346
results_v3_lr0p1,results_v3_lr0p1,label_block_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,5,"0,1,2",3,4.572007786339522,,0.13146666666666665,0.05450186541150066,6.922080699920654,,0.10000000000000002,0.0,1.134180188179016,,0.4334852695465088,,0.9050604104995728,,0.3646524548530578,,10.299064477284752,0.048070453536723116
results_v3_lr0p1,results_v3_lr0p1,label_block_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,6,"0,1,2",3,4.565748881584406,,0.13146666666666665,0.05450186541150066,7.065271401977539,,0.10000000000000002,0.0,1.133861422538757,,0.4338355362415313,,0.905690371990204,,0.3616858124732971,,10.36645770072937,0.12705884186786962
results_v3_lr0p1,results_v3_lr0p1,label_block_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,7,"0,1,2",3,4.791425718954206,,0.12293333333333334,0.039721698520246256,7.1688987762451175,,0.10000000000000002,0.0,1.1501688957214355,,0.4209888577461242,,0.9087852835655212,,0.3477928638458252,,10.330079952875773,0.11903371646552581
results_v3_lr0p1,results_v3_lr0p1,label_block_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,8,"0,1,2",3,4.838367110389471,,0.12506666666666666,0.043416740243059845,6.787104006195069,,0.10000000000000002,0.0,1.1529884338378906,,0.4189969599246979,,0.9093639850616456,,0.3448944091796875,,10.351795593897501,0.09031672343371673
results_v3_lr0p1,results_v3_lr0p1,label_block_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,9,"0,1,2",3,4.566398934273422,,0.15066666666666664,0.08775724091682312,6.835743516540528,,0.10000000000000002,0.0,1.0486342906951904,,0.5199642777442932,,0.9176626801490784,,0.3316749930381775,,10.297871192296347,0.05087454117403622
results_v3_lr0p1,results_v3_lr0p1,label_block_random,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,10,"0,1,2",3,4.7752409727334975,,0.12506666666666666,0.043416740243059845,6.940808801269531,,0.10000000000000002,0.0,1.1484941244125366,,0.4224663078784942,,0.908688187599182,,0.3480168581008911,,10.235584815343222,0.06374705174866424
results_v3_lr0p1,results_v3_lr0p1,label_sorted,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,1,"0,1,2",3,3607979556.486856,,0.5366,0.1033211982121772,7.173167105102539,,0.10000000000000002,0.0,85225024.0,,1063182400.0,,0.452967365582784,0.3496197905252817,0.35603922605514526,0.043043962025313555,10.172462860743204,0.06668960313056382
results_v3_lr0p1,results_v3_lr0p1,label_sorted,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,2,"0,1,2",3,4.805182470923662,,0.1272,0.04711178196587347,7.037969480895996,,0.10000000000000002,0.0,1.14922297000885,,0.4226412177085876,,0.909048080444336,,0.3466581106185913,,10.220833937327066,0.12110786393213306
results_v3_lr0p1,results_v3_lr0p1,label_sorted,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,3,"0,1,2",3,4.813354489392042,,0.12506666666666666,0.043416740243059845,6.916595376586914,,0.10000000000000002,0.0,1.150886058807373,,0.4208674132823944,,0.9094451069831848,,0.3443898558616638,,10.377577543258667,0.23097743240520452
results_v3_lr0p1,results_v3_lr0p1,label_sorted,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,4,"0,1,2",3,4.799582808709145,,0.12506666666666666,0.043416740243059845,6.96721547241211,,0.10000000000000002,0.0,1.1502467393875122,,0.4212768077850342,,0.9087901711463928,,0.3477747142314911,,10.197769880294798,0.2473706904537532
results_v3_lr0p1,results_v3_lr0p1,label_sorted,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,5,"0,1,2",3,4.820670862346888,,0.12506666666666666,0.043416740243059845,6.808531454467773,,0.10000000000000002,0.0,1.1518182754516602,,0.4199661016464233,,0.9092361330986024,,0.3455387949943542,,10.277676502863567,0.0477674369006417
results_v3_lr0p1,results_v3_lr0p1,label_sorted,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,6,"0,1,2",3,4.797590865153074,,0.12506666666666666,0.043416740243059845,6.903574491882324,,0.10000000000000002,0.0,1.150273084640503,,0.4212552607059479,,0.9089250564575196,,0.3470851182937622,,10.166335185368856,0.11755004772576685
results_v3_lr0p1,results_v3_lr0p1,label_sorted,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,7,"0,1,2",3,4.813028532397747,,0.12506666666666666,0.043416740243059845,6.8164585517883305,,0.10000000000000002,0.0,1.15132737159729,,0.4203310310840606,,0.9090033769607544,,0.3467044830322265,,10.335162798563639,0.2574691374626717
results_v3_lr0p1,results_v3_lr0p1,label_sorted,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,8,"0,1,2",3,4.801680305355787,,0.12506666666666666,0.043416740243059845,6.863114314270019,,0.10000000000000002,0.0,1.1505622863769531,,0.4210115075111389,,0.9089600443840028,,0.3469132483005523,,10.63273811340332,0.7409026271462886
results_v3_lr0p1,results_v3_lr0p1,label_sorted,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,9,"0,1,2",3,4.806660692042112,,0.12293333333333334,0.039721698520246256,6.842334539031983,,0.10000000000000002,0.0,1.1508771181106567,,0.4207361936569214,,0.9089714884757996,,0.3468591868877411,,10.499466657638552,0.46805695260521873
results_v3_lr0p1,results_v3_lr0p1,label_sorted,0.1,10,20000,sgd,small_cnn,128,0.9,0.0005,10,"0,1,2",3,4.804492919850349,,0.12293333333333334,0.039721698520246256,6.851243354034424,,0.10000000000000002,0.0,1.1507469415664673,,0.4208457767963409,,0.9089588522911072,,0.3469166159629822,,10.261186520258585,0.04971004178105814
