order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,grad_cosine_mean,grad_cosine_std,grad_variance,test_loss,test_accuracy,epoch_time_sec
random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cuda,False,False,1,0.7685730553627014,0.73015,1.37156081199646,1.5720653533935547,0.19817142188549042,0.2760636806488037,4.337463679896527,0.4791467198371887,0.8345,10.707724809646606
random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cuda,False,False,2,0.36768770542144774,0.86765,0.8176319003105164,0.20117604732513428,0.1863294392824173,0.2269478291273117,0.707635021260135,0.40247489585876467,0.8512,10.098518133163452
random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cuda,False,False,3,0.32104400310516357,0.88415,0.7665489315986633,0.17322595417499542,0.21109390258789062,0.1961464285850525,0.6166066066469835,0.3573126258134842,0.8697,9.586871862411499
random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cuda,False,False,4,0.2778460593700409,0.8983,0.7159064412117004,0.16530725359916687,0.14308518171310425,0.20056837797164917,0.5389002389077497,0.3451212161898613,0.8775,9.498521566390991
random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cuda,False,False,5,0.2524410908460617,0.9057,0.7166069746017456,0.16786760091781616,0.13051044940948486,0.189633309841156,0.5407881601164417,0.38590160377025606,0.8687,9.451221704483032
random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cuda,False,False,6,0.23055981476306917,0.9157,0.7081553936004639,0.1699150949716568,0.15451154112815857,0.17955921590328217,0.5293996440897104,0.34184664661884306,0.8855,9.402212142944336
random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cuda,False,False,7,0.22770921647548675,0.91515,0.7285254001617432,0.1535579264163971,0.1723892241716385,0.16131627559661865,0.5534023155611937,0.33435151467323304,0.8842,9.267146110534668
random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cuda,False,False,8,0.2028864993572235,0.92305,0.7403997182846069,0.19895754754543304,0.11981327831745148,0.16711629927158356,0.5867544867935913,0.3502802966237068,0.8824,9.49838638305664
random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cuda,False,False,9,0.19033652565479278,0.9287,0.7330468893051147,0.18054255843162537,0.12874525785446167,0.14968010783195496,0.56884864068543,0.36202456378936765,0.8837,9.452667951583862
random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cuda,False,False,10,0.1923115110874176,0.92905,0.7626079320907593,0.2089787721633911,0.13089051842689514,0.1716310828924179,0.6241133538288608,0.4142032276630402,0.8586,9.42552900314331
