order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,grad_cosine_mean,grad_cosine_std,test_loss,test_accuracy,epoch_time_sec
random,0,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,1,0.7518753611564636,0.7363,1.3262808322906494,1.457995891571045,0.21149811148643494,0.28837206959724426,0.4418802345752716,0.8346,13.21337890625
random,0,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,2,0.3677535488128662,0.86795,0.7870398759841919,0.1865377277135849,0.22981269657611847,0.2500135898590088,0.3746864668130875,0.8642,12.616232633590698
random,0,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,3,0.3141659606933594,0.88685,0.7293134927749634,0.209311380982399,0.17562030255794525,0.2100972831249237,0.3370773670196533,0.8768,12.802953720092773
random,0,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,4,0.2846696363210678,0.89725,0.7149027585983276,0.16207630932331085,0.18251970410346985,0.18807853758335114,0.34572034907341004,0.8774,12.281185626983643
random,0,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,5,0.2445357677936554,0.90755,0.6975409388542175,0.15688933432102203,0.12487796694040298,0.17891906201839447,0.3724064033508301,0.8646,12.60677981376648
random,0,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,6,0.2440445622444153,0.90695,0.7389870285987854,0.18986734747886658,0.18895140290260315,0.15159040689468384,0.31871985721588136,0.8922,13.528109550476074
random,0,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,7,0.22090997478961943,0.91815,0.7379757165908813,0.20938554406166077,0.1676691621541977,0.16996122896671295,0.34023849759101865,0.8856,12.796958446502686
random,0,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,8,0.2109323670387268,0.9213,0.7198625206947327,0.1777535080909729,0.15414272248744965,0.16785572469234467,0.3778848437786102,0.8677,13.08470368385315
random,0,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,9,0.19866152925491334,0.92535,0.7412182092666626,0.20219950377941132,0.15430104732513428,0.17851483821868896,0.4003943525791168,0.8736,13.393756866455078
random,0,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,10,0.18704187829494476,0.93055,0.7330484390258789,0.1902465969324112,0.13484780490398407,0.1335066258907318,0.369017312335968,0.8837,13.978027582168579
