order_mode,seed,model,optimizer,epochs,batch_size,learning_rate,momentum,weight_decay,device,deterministic,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,test_loss,test_accuracy,epoch_time_sec
label_sorted,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,1,2.303980738735199,0.10865,2.864039182662964,3.137939929962158,2.2974511962890625,0.1579,10.239089727401733
label_sorted,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,2,2.3391497421264646,0.0018,1.3187326192855835,0.22836123406887054,2.2804563625335694,0.2452,10.087064027786255
label_sorted,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,3,2.2907346715927126,0.06775,2.2614798545837402,1.0492581129074097,2.2508407333374025,0.1073,10.217326879501343
label_sorted,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,4,2.1193344690322875,0.1434,4.283410549163818,2.009338617324829,2.468178499984741,0.1,10.475969314575195
label_sorted,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,5,1.808813192486763,0.30795,5.182640075683594,2.967749834060669,3.660895978546143,0.1,10.221280813217163
label_sorted,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,6,1.430056303369999,0.50535,6.468275547027588,3.85190749168396,2.9422363933563234,0.12,10.401307106018066
label_sorted,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,7,1.4094054095804691,0.4769,6.029029846191406,3.9676055908203125,3.6433582374572753,0.1136,10.613802433013916
label_sorted,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,8,1.4701385895609855,0.4954,6.074122905731201,3.409961462020874,2.6710257526397707,0.1475,10.377828121185303
label_sorted,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,9,1.4546894318103791,0.46645,5.0086565017700195,3.2460553646087646,2.9665012004852294,0.1947,10.535873651504517
label_sorted,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,10,1.7449414576768876,0.3298,4.8056321144104,2.1609344482421875,2.326148418045044,0.2225,10.828676700592041
