order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,grad_cosine_mean,grad_cosine_std,test_loss,test_accuracy,epoch_time_sec
curriculum_hard,0,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,1,0.6065679013793298,0.77125,1.2545807361602783,0.6614593863487244,0.3150812089443207,0.355940580368042,1.2280402099609375,0.7763,34.038827896118164
curriculum_hard,0,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,2,0.6008609693920997,0.7887,1.3507684469223022,1.8793238401412964,0.28138911724090576,0.3619202971458435,1.0566872346878051,0.7826,31.202159881591797
curriculum_hard,0,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,3,0.47390394752735154,0.8324,1.0383338928222656,0.7870674133300781,0.3101712763309479,0.3353564441204071,0.9904068778991699,0.7937,30.743935346603394
curriculum_hard,0,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,4,0.4118161528754048,0.8533,0.9175794124603271,0.7332407832145691,0.29775872826576233,0.3142539858818054,0.8925368719100952,0.8061,29.668654203414917
curriculum_hard,0,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,5,0.35141155421806036,0.8735,0.8707007169723511,0.5339107513427734,0.2631704807281494,0.3288400173187256,0.7785815147399903,0.8228,29.54548406600952
curriculum_hard,0,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,6,0.3292193013607699,0.8815,0.8208266496658325,0.5003412365913391,0.22986264526844025,0.2827783524990082,0.7496828356742858,0.8317,30.391695499420166
curriculum_hard,0,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,7,0.31542650566272207,0.88615,0.7464194297790527,0.4254198670387268,0.2401154339313507,0.26265349984169006,0.7213917744636535,0.8364,26.60200524330139
curriculum_hard,0,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,8,0.29393297454750866,0.8919,0.7346848249435425,0.394672155380249,0.22156932950019836,0.2602996230125427,0.6654842283248902,0.8462,12.157655239105225
curriculum_hard,0,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,9,0.27151828033028286,0.9009,0.7446734309196472,0.3996794521808624,0.1932484358549118,0.27539506554603577,0.582056816291809,0.8535,12.192657709121704
curriculum_hard,0,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,10,0.2588969985573611,0.90365,0.729181170463562,0.38200893998146057,0.208465114235878,0.24592553079128265,0.6236320834159851,0.8529,11.970186471939087
