order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,grad_cosine_mean,grad_cosine_std,test_loss,test_accuracy,epoch_time_sec
fixed_random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,1,0.7959334244728088,0.72275,1.6401373147964478,1.835495114326477,0.2379380315542221,0.3117966055870056,0.47041438798904417,0.8246,30.66889238357544
fixed_random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,2,0.3630953092575073,0.86725,0.9913405776023865,0.2583809494972229,0.17855095863342285,0.25989484786987305,0.36629196519851687,0.8664,29.332470893859863
fixed_random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,3,0.3047251709461212,0.88915,0.9340510368347168,0.23615916073322296,0.1433158814907074,0.24901680648326874,0.3182856441497803,0.8856,28.769635915756226
fixed_random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,4,0.2725854658603668,0.9013,0.9145535230636597,0.26196351647377014,0.1710827797651291,0.2575095295906067,0.3393652171134949,0.8772,27.256534576416016
fixed_random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,5,0.24368100917339325,0.91265,0.8981483578681946,0.2715827226638794,0.1774177849292755,0.23944027721881866,0.3609564918041229,0.8692,12.498677015304565
fixed_random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,6,0.21266810522079468,0.9229,0.8799426555633545,0.24378596246242523,0.14754806458950043,0.21213281154632568,0.3839980731010437,0.8631,12.281718254089355
fixed_random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,7,0.1962812514781952,0.9274,0.9154507517814636,0.27844083309173584,0.17724120616912842,0.20242321491241455,0.358624017906189,0.8737,12.284587860107422
fixed_random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,8,0.18251318509578704,0.93255,0.9292569756507874,0.2428976148366928,0.18229837715625763,0.16639328002929688,0.36993857412338255,0.8697,13.304857730865479
fixed_random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,9,0.16644263954162597,0.9387,0.9514419436454773,0.2574361264705658,0.1829204261302948,0.1921185553073883,0.3908191364765167,0.8685,12.566208124160767
fixed_random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,10,0.15626806617975236,0.94105,0.9527918100357056,0.3026355803012848,0.2009451985359192,0.18921253085136414,0.34635108613967897,0.8813,13.300008058547974
