order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,grad_cosine_mean,grad_cosine_std,grad_variance,test_loss,test_accuracy,epoch_time_sec
fixed_random,1,results_v3_lr0p001,results_v3_lr0p001,small_cnn,sgd,10,128,20000,0.001,0.9,0.0005,cuda,False,False,1,1.673598466873169,0.5238,1.651574730873108,0.645266056060791,0.46088868379592896,0.258055716753006,2.423237926314639,0.9501518864631653,0.661,9.884931325912476
fixed_random,1,results_v3_lr0p001,results_v3_lr0p001,small_cnn,sgd,10,128,20000,0.001,0.9,0.0005,cuda,False,False,2,0.80888423204422,0.71655,3.1135354042053223,0.8569655418395996,0.1691722571849823,0.3550358712673187,10.309166312899627,0.7389941427707672,0.741,11.12927532196045
fixed_random,1,results_v3_lr0p001,results_v3_lr0p001,small_cnn,sgd,10,128,20000,0.001,0.9,0.0005,cuda,False,False,3,0.6875454737663269,0.75935,3.7987475395202637,1.1347790956497192,0.18331457674503326,0.3730371594429016,15.672660364573265,0.6615671335220337,0.7669,10.074326753616333
fixed_random,1,results_v3_lr0p001,results_v3_lr0p001,small_cnn,sgd,10,128,20000,0.001,0.9,0.0005,cuda,False,False,4,0.6318236655235291,0.7775,4.129913330078125,1.2789291143417358,0.21889954805374146,0.38794365525245667,18.66236973838964,0.6185557307243347,0.7804,10.142052173614502
fixed_random,1,results_v3_lr0p001,results_v3_lr0p001,small_cnn,sgd,10,128,20000,0.001,0.9,0.0005,cuda,False,False,5,0.5915438856601715,0.79085,4.1888580322265625,1.2916253805160522,0.2235395759344101,0.3862830698490143,19.191575565223612,0.5839977260112762,0.7912,9.67904257774353
fixed_random,1,results_v3_lr0p001,results_v3_lr0p001,small_cnn,sgd,10,128,20000,0.001,0.9,0.0005,cuda,False,False,6,0.5580188676834107,0.80345,4.130640029907227,1.258992075920105,0.21306192874908447,0.3820785880088806,18.627763237584276,0.5556854151248932,0.8001,9.683500528335571
fixed_random,1,results_v3_lr0p001,results_v3_lr0p001,small_cnn,sgd,10,128,20000,0.001,0.9,0.0005,cuda,False,False,7,0.5295696565628052,0.8138,4.065765857696533,1.2100744247436523,0.1994907706975937,0.38093987107276917,17.978069143433796,0.5305055939674378,0.8095,10.05685305595398
fixed_random,1,results_v3_lr0p001,results_v3_lr0p001,small_cnn,sgd,10,128,20000,0.001,0.9,0.0005,cuda,False,False,8,0.504821874332428,0.82285,4.000922203063965,1.1614067554473877,0.1774625927209854,0.383183091878891,17.341774308747745,0.5097784556388855,0.8169,9.698155641555786
fixed_random,1,results_v3_lr0p001,results_v3_lr0p001,small_cnn,sgd,10,128,20000,0.001,0.9,0.0005,cuda,False,False,9,0.4836018295288086,0.82995,3.965222120285034,1.1271765232086182,0.16399827599525452,0.38613608479499817,16.9807927346364,0.49117069363594057,0.8242,10.129332065582275
fixed_random,1,results_v3_lr0p001,results_v3_lr0p001,small_cnn,sgd,10,128,20000,0.001,0.9,0.0005,cuda,False,False,10,0.4653328692436218,0.83685,3.954428195953369,1.137387752532959,0.15186849236488342,0.3895374834537506,16.919827718484026,0.47472278685569763,0.8307,9.793507814407349
