order_mode,epoch,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,test_loss_mean,test_loss_std,test_accuracy_mean,test_accuracy_std,grad_norm_mean_mean,grad_norm_mean_std,grad_norm_std_mean,grad_norm_std_std,epoch_time_sec_mean,epoch_time_sec_std
label_block_random,1,2.2661072128931683,0.03756999677485003,0.13636666666666666,0.032915510528219574,2.2913975519816083,0.007602982152090524,0.11816666666666668,0.0314655896708346,3.763621171315511,0.4966945951811903,3.043126026789347,0.7189084388992226,10.635864734649658,0.11132627662284954
label_block_random,2,2.3360504497528076,0.004483583566655436,0.05461666666666667,0.02077476433881582,2.2495843893686933,0.014638104016306061,0.23573333333333335,0.046017206926684866,1.8361220757166545,0.3493325942806579,0.7743058303991955,0.3926032443156504,11.065015395482382,1.6760909257119978
label_block_random,3,2.175119032096863,0.11990830853602771,0.18989999999999999,0.08409036805722757,2.225769067637126,0.041667691409993095,0.13076666666666667,0.04777094654006066,3.8741135597229004,0.8433591775174667,1.8832790454228718,0.8252589878720756,10.56586488087972,0.99464149047295
label_block_random,4,2.0399603331009546,0.04343518257502671,0.25455,0.13469087756785908,2.5319591603597007,0.9063960592097992,0.2084,0.06618481699000155,4.300291379292806,0.44906986322999193,2.8579701582590737,1.492582369045749,10.284878810246784,0.3745177099227655
label_block_random,5,1.9186460455616317,0.025318722514829327,0.28845,0.031811790267132115,1.8885410501480102,0.06963748914798153,0.3116333333333333,0.0036350149013908224,4.787668466567993,0.8025582053416461,2.7347081899642944,1.6036435377293115,9.91430672009786,0.03683043970567393
label_block_random,6,1.6771206618825591,0.1776686809750732,0.4168166666666666,0.08601808433889546,2.1486349483489993,0.31996433679792013,0.22253333333333333,0.023133165225133666,5.089688618977864,0.43800324456778894,2.3936280409495034,0.2988570005301225,9.907400608062744,0.407471321169778
label_block_random,7,1.5559110845386985,0.09876086858811778,0.42683333333333334,0.050344173777442554,2.0364370389938355,0.4039926596559057,0.28596666666666665,0.06913004653067531,5.205882549285889,0.260048115542343,2.9455974102020264,0.10075767648701982,9.916287899017334,0.24864935868332172
label_block_random,8,1.5825874273777008,0.02713498930596392,0.3965166666666667,0.05133420724364341,1.520690615526835,0.11377216670210166,0.43920000000000003,0.04602086483324708,4.688282171885173,0.5242596131024989,2.7915534178415933,0.7770305080957736,9.83037288983663,0.6404699573940743
label_sorted,1,2.2851458145459493,0.021286947751965823,0.1299,0.024733529873432948,2.2952917472839354,0.001918241103056269,0.13116666666666668,0.029203481527607857,3.27209734916687,0.3674232386472718,3.169723113377889,0.5318410341893386,9.978021065394083,0.04959892976285665
label_sorted,2,2.3235656698862712,0.020091240870157102,0.011983333333333334,0.008884302636298098,2.27374850692749,0.007125717001265796,0.19723333333333334,0.043036767226794954,1.4663861592610676,0.2049078029375601,0.3935740937789281,0.17154532633806674,9.498653888702393,0.12398959016355329
label_sorted,3,2.2287871683756513,0.09115474312385607,0.10818333333333334,0.07867237973605053,2.443994279988607,0.2870591629690813,0.10243333333333333,0.00421465696508427,2.9886342684427896,0.7915324657155316,1.5037840604782104,0.743405120098951,9.496756235758463,0.2828315284539753
label_sorted,4,2.026763146217664,0.08175782530951413,0.22668333333333335,0.07445408540391409,2.8265032806396486,0.8943403561599742,0.11223333333333334,0.021188754879259256,4.7448188463846845,0.41808783672211136,2.7151784896850586,0.6116201463388655,9.534216403961182,0.11619118503946493
label_sorted,5,1.7155118682503703,0.1712086454723133,0.35813333333333336,0.08857062624444591,2.9320474177042644,0.803725812374311,0.14106666666666667,0.0711295531641619,5.683625380198161,0.45031666419603955,3.5116329987843833,0.8703493977289603,9.486205180486044,0.26365571193988496
label_sorted,6,1.423040684556961,0.1290549689433591,0.5081166666666667,0.07733712454787373,3.0605700274149577,0.147156209163827,0.1317,0.035429789725596746,6.284644603729248,0.166739907524521,4.182743072509766,0.6978587510652119,9.532333056131998,0.34989753873707113
label_sorted,7,1.4123911716103554,0.06581206129758478,0.4821333333333333,0.0721924049560155,3.0557171025594076,0.5750154345529962,0.146,0.05803412789040601,5.7081654866536455,0.36389083269142924,4.072769959767659,0.10594034081338508,9.69687565167745,0.29283391456177066
label_sorted,8,1.4558446948508423,0.18817757290123419,0.4829833333333333,0.06551351641709771,2.668526642100016,0.28253524143509046,0.21416666666666664,0.058560851542078296,5.516358216603597,0.6953798331364898,3.293138106664022,0.7200827619054108,9.660751342773438,0.30189340194162007
