order_mode,learning_rate,test_accuracy_mean,test_accuracy_std,test_accuracy_count,final_train_loss_mean,final_train_loss_std,collapse_fraction_mean,collapse_rate,collapse_label
curriculum_hard,0.05,0.8453333333333334,0.009265167744479025,3,0.2609599310696979,0.016055778998064128,0.13433333333333333,0.0,no
curriculum_hard,0.1,0.7952,0.05393336629582841,6,0.46866053432602195,0.22902475448188817,0.07105,0.0,no
fixed_random,0.05,0.8845999999999999,0.004875448697299618,3,0.14599624381264045,0.01106649177294637,0.12733333333333333,0.0,no
fixed_random,0.1,0.8674666666666667,0.007266544341478054,6,0.21111046274900433,0.03849556000600704,0.06413333333333333,0.0,no
label_block_random,0.001,0.4000333333333333,0.059368875122688104,3,1.3665831427454949,0.128112964248907,0.3627,0.3333333333333333,yes
label_block_random,0.05,0.10000000000000002,0.0,3,3.2630405663490296,,1.0,1.0,yes
label_block_random,0.1,0.10000000000000002,0.0,6,4.6484077403739095,0.14645486019181533,0.5,1.0,yes
label_sorted,0.001,0.31953333333333334,0.08416188765310181,3,1.5722549067020415,0.16608498175030262,0.42956666666666665,0.3333333333333333,yes
label_sorted,0.05,0.10000000000000002,0.0,3,,,1.0,1.0,yes
label_sorted,0.1,0.10000000000000002,0.0,6,4.804492075645924,0.0,0.5,1.0,yes
random,0.05,0.8946999999999999,0.006781592733274366,3,0.1473004718502362,0.010180409063381543,0.11596666666666666,0.0,no
random,0.1,0.8795999999999999,0.0044908796465726085,6,0.1821089984973271,0.014458020861563526,0.06438333333333333,0.0,no
