order_mode,epoch,forgetting_mean,forgetting_std
curriculum_easy,1,0.0,0.0
curriculum_easy,2,0.0404,0.08506735667936201
curriculum_easy,3,0.043633333333333336,0.08296716564227469
curriculum_easy,4,0.046233333333333335,0.07353520542421575
curriculum_easy,5,0.08993333333333335,0.11441483305493441
curriculum_easy,6,0.0876,0.12831228070340867
curriculum_easy,7,0.08633333333333333,0.12681845110325976
curriculum_easy,8,0.09323333333333333,0.09615385778956606
curriculum_easy,9,0.10779999999999999,0.1316425148807859
curriculum_easy,10,0.12309999999999999,0.1371136830114541
curriculum_hard,1,0.0,0.0
curriculum_hard,2,0.013033333333333334,0.02471001937415801
curriculum_hard,3,0.035333333333333335,0.06626453429812305
curriculum_hard,4,0.03953333333333332,0.07603253991835854
curriculum_hard,5,0.036899999999999995,0.07789088300418999
curriculum_hard,6,0.021933333333333322,0.04252944889119193
curriculum_hard,7,0.025266666666666653,0.047809920578757784
curriculum_hard,8,0.02403333333333332,0.048518381396470085
curriculum_hard,9,0.02279999999999999,0.03284173123245527
curriculum_hard,10,0.025299999999999993,0.03826869612945123
fixed_random,1,0.0,0.0
fixed_random,2,0.007433333333333333,0.018039579728519432
fixed_random,3,0.009533333333333338,0.02006495200219963
fixed_random,4,0.02486666666666667,0.0420563934483814
fixed_random,5,0.03516666666666667,0.05604498398505488
fixed_random,6,0.03556666666666667,0.05337097450431489
fixed_random,7,0.0362,0.04295498847029015
fixed_random,8,0.0406,0.04467090389920953
fixed_random,9,0.05173333333333334,0.0769486767304982
fixed_random,10,0.0427,0.05735740940622323
label_block_random,1,0.0,0.0
label_block_random,2,0.03333333333333333,0.18257418583505536
label_block_random,3,0.03333333333333333,0.18257418583505536
label_block_random,4,0.06666666666666667,0.2537081317024625
label_block_random,5,0.06666666666666667,0.2537081317024624
label_block_random,6,0.06666666666666667,0.2537081317024625
label_block_random,7,0.1,0.30512857662936466
label_block_random,8,0.1,0.30512857662936466
label_block_random,9,0.13333333333333333,0.3457459036417604
label_block_random,10,0.16666666666666666,0.3790490217894517
label_sorted,1,0.0,0.0
label_sorted,2,0.0,0.0
label_sorted,3,0.0,0.0
label_sorted,4,0.0,0.0
label_sorted,5,0.0,0.0
label_sorted,6,0.0,0.0
label_sorted,7,0.0,0.0
label_sorted,8,0.0,0.0
label_sorted,9,0.0,0.0
label_sorted,10,0.0,0.0
random,1,0.0,0.0
random,2,0.025233333333333337,0.06846125676732
random,3,0.0244,0.03341546204152018
random,4,0.028899999999999995,0.044560187890398166
random,5,0.03913333333333333,0.05591356219005912
random,6,0.0407,0.06999169901520096
random,7,0.0443,0.05609791317035746
random,8,0.048766666666666666,0.06254084642267299
random,9,0.04583333333333333,0.06848865163148453
random,10,0.04666666666666667,0.0559330470037744
