order_mode,epoch,class_id,class_accuracy_mean,class_accuracy_std
curriculum_easy,1,0,0.3933333333333333,0.08936628745412518
curriculum_easy,1,1,0.9483333333333333,0.02627419519858466
curriculum_easy,1,2,0.23933333333333331,0.1353563198869315
curriculum_easy,1,3,0.21,0.08503528679318957
curriculum_easy,1,4,0.2833333333333333,0.13008202540448596
curriculum_easy,1,5,0.9716666666666667,0.03177000681985025
curriculum_easy,1,6,0.535,0.12346659467240521
curriculum_easy,1,7,0.209,0.0385746030439718
curriculum_easy,1,8,0.7756666666666666,0.03722006627255425
curriculum_easy,1,9,0.027,0.0324499614791759
curriculum_easy,2,0,0.851,0.05828378848359121
curriculum_easy,2,1,0.9123333333333333,0.020033305601755633
curriculum_easy,2,2,0.428,0.12410882321575693
curriculum_easy,2,3,0.32066666666666666,0.05262445565830901
curriculum_easy,2,4,0.5066666666666667,0.11987632515777805
curriculum_easy,2,5,0.855,0.1374772708486752
curriculum_easy,2,6,0.30466666666666664,0.12002222016498999
curriculum_easy,2,7,0.503,0.27308789793764204
curriculum_easy,2,8,0.8793333333333333,0.04735328218121038
curriculum_easy,2,9,0.15866666666666668,0.12054183229623373
curriculum_easy,3,0,0.7636666666666666,0.05689756878227165
curriculum_easy,3,1,0.9636666666666667,0.005686240703077347
curriculum_easy,3,2,0.6176666666666667,0.04301550108197435
curriculum_easy,3,3,0.48633333333333334,0.060533737149901255
curriculum_easy,3,4,0.357,0.12922461065911556
curriculum_easy,3,5,0.9496666666666668,0.05173329037798903
curriculum_easy,3,6,0.41,0.0913290753265355
curriculum_easy,3,7,0.783,0.12576565508913792
curriculum_easy,3,8,0.9083333333333333,0.029365512652315982
curriculum_easy,3,9,0.4223333333333333,0.021126602503321087
curriculum_easy,4,0,0.7456666666666667,0.1453421251163383
curriculum_easy,4,1,0.9633333333333333,0.014364307617610218
curriculum_easy,4,2,0.6246666666666667,0.06350065616458879
curriculum_easy,4,3,0.5990000000000001,0.13943815833551446
curriculum_easy,4,4,0.429,0.04011234224026315
curriculum_easy,4,5,0.9089999999999999,0.1062402936742929
curriculum_easy,4,6,0.49033333333333334,0.04046397574798272
curriculum_easy,4,7,0.8116666666666666,0.12710756599562958
curriculum_easy,4,8,0.8916666666666666,0.1270328041622845
curriculum_easy,4,9,0.5363333333333333,0.2245981596837635
curriculum_easy,5,0,0.6756666666666667,0.08895129753597378
curriculum_easy,5,1,0.9620000000000001,0.009539392014169465
curriculum_easy,5,2,0.5176666666666666,0.11054561652699456
curriculum_easy,5,3,0.4406666666666667,0.12265942007580714
curriculum_easy,5,4,0.38433333333333336,0.1226879510519812
curriculum_easy,5,5,0.884,0.13610657588816202
curriculum_easy,5,6,0.5126666666666667,0.04867579823005816
curriculum_easy,5,7,0.8463333333333334,0.11454402356008515
curriculum_easy,5,8,0.9403333333333332,0.053106810611571534
curriculum_easy,5,9,0.523,0.1973246056628519
curriculum_easy,6,0,0.5163333333333333,0.09006849245620432
curriculum_easy,6,1,0.9676666666666667,0.011060440015358105
curriculum_easy,6,2,0.47866666666666663,0.15591129956912464
curriculum_easy,6,3,0.5296666666666666,0.051052260805309405
curriculum_easy,6,4,0.437,0.04430575583375144
curriculum_easy,6,5,0.985,0.008717797887081356
curriculum_easy,6,6,0.5813333333333334,0.04202776859807492
curriculum_easy,6,7,0.8633333333333333,0.04997332621842713
curriculum_easy,6,8,0.951,0.01216552506059645
curriculum_easy,6,9,0.6106666666666666,0.20709981490415036
curriculum_easy,7,0,0.5586666666666668,0.031005375877955942
curriculum_easy,7,1,0.9806666666666667,0.001527525231651936
curriculum_easy,7,2,0.5083333333333333,0.2307169983623516
curriculum_easy,7,3,0.624,0.07014983962918232
curriculum_easy,7,4,0.439,0.13336791218280353
curriculum_easy,7,5,0.9860000000000001,0.010148891565092199
curriculum_easy,7,6,0.5653333333333334,0.041404508611180633
curriculum_easy,7,7,0.7726666666666667,0.13431803055931593
curriculum_easy,7,8,0.9413333333333332,0.019502136635080002
curriculum_easy,7,9,0.8109999999999999,0.07686351540230253
curriculum_easy,8,0,0.6156666666666667,0.11764494605946033
curriculum_easy,8,1,0.9700000000000001,0.013114877048604014
curriculum_easy,8,2,0.5083333333333333,0.08947252837230728
curriculum_easy,8,3,0.5843333333333334,0.0595510985065207
curriculum_easy,8,4,0.4143333333333333,0.19656127119382732
curriculum_easy,8,5,0.9766666666666666,0.012858201014657301
curriculum_easy,8,6,0.524,0.13809779143780687
curriculum_easy,8,7,0.8036666666666666,0.08357830659527231
curriculum_easy,8,8,0.9516666666666667,0.028919428302325297
curriculum_easy,8,9,0.8173333333333334,0.15018766038970488
curriculum_easy,9,0,0.5630000000000001,0.15015991475756774
curriculum_easy,9,1,0.9693333333333333,0.010692676621563582
curriculum_easy,9,2,0.5323333333333333,0.1655576435364231
curriculum_easy,9,3,0.512,0.09854947995803937
curriculum_easy,9,4,0.455,0.21018801107579851
curriculum_easy,9,5,0.9773333333333333,0.028005951748393366
curriculum_easy,9,6,0.5750000000000001,0.16886681142249355
curriculum_easy,9,7,0.8423333333333334,0.03722006627255432
curriculum_easy,9,8,0.934,0.034655446902326886
curriculum_easy,9,9,0.8316666666666667,0.07686568371733465
curriculum_easy,10,0,0.5753333333333334,0.1582919244097226
curriculum_easy,10,1,0.977,0.002999999999999975
curriculum_easy,10,2,0.5226666666666667,0.07088253193370936
curriculum_easy,10,3,0.5566666666666666,0.03384277372399208
curriculum_easy,10,4,0.2733333333333334,0.11696723187856219
curriculum_easy,10,5,0.987,0.007000000000000026
curriculum_easy,10,6,0.6416666666666666,0.06213962772123224
curriculum_easy,10,7,0.8863333333333333,0.011503622617824928
curriculum_easy,10,8,0.9386666666666666,0.04497036060933172
curriculum_easy,10,9,0.7120000000000001,0.1648848082753532
curriculum_hard,1,0,0.8406666666666668,0.039715656022950616
curriculum_hard,1,1,0.9493333333333333,0.01209683154108274
curriculum_hard,1,2,0.6873333333333332,0.03873413653785674
curriculum_hard,1,3,0.911,0.011357816691600537
curriculum_hard,1,4,0.6136666666666667,0.06328770286029771
curriculum_hard,1,5,0.8796666666666667,0.04697162263892248
curriculum_hard,1,6,0.26533333333333337,0.04860384072615389
curriculum_hard,1,7,0.914,0.054525223520862365
curriculum_hard,1,8,0.7676666666666666,0.01040832999733071
curriculum_hard,1,9,0.924,0.01969771560359215
curriculum_hard,2,0,0.8193333333333334,0.0149777612924406
curriculum_hard,2,1,0.9596666666666667,0.004041451884327384
curriculum_hard,2,2,0.731,0.10280564186852777
curriculum_hard,2,3,0.9286666666666666,0.0046188021535170185
curriculum_hard,2,4,0.5943333333333333,0.10186428880296246
curriculum_hard,2,5,0.9033333333333333,0.06007772743149774
curriculum_hard,2,6,0.325,0.05023942674832189
curriculum_hard,2,7,0.9573333333333333,0.008020806277010706
curriculum_hard,2,8,0.8413333333333334,0.006350852961085929
curriculum_hard,2,9,0.8983333333333334,0.009865765724632486
curriculum_hard,3,0,0.7983333333333333,0.01761628034896506
curriculum_hard,3,1,0.9606666666666666,0.012013880860626774
curriculum_hard,3,2,0.816,0.08346855695410098
curriculum_hard,3,3,0.934,0.018520259177452106
curriculum_hard,3,4,0.48866666666666664,0.16120277086121487
curriculum_hard,3,5,0.8766666666666666,0.023692474191889176
curriculum_hard,3,6,0.3283333333333333,0.024006943440041086
curriculum_hard,3,7,0.9576666666666666,0.014843629385474925
curriculum_hard,3,8,0.9163333333333333,0.01625833119767628
curriculum_hard,3,9,0.9049999999999999,0.031000000000000028
curriculum_hard,4,0,0.8076666666666666,0.03450120770833002
curriculum_hard,4,1,0.9540000000000001,0.0026457513110646137
curriculum_hard,4,2,0.8823333333333334,0.040153870714208104
curriculum_hard,4,3,0.9336666666666668,0.016258331197676175
curriculum_hard,4,4,0.4156666666666667,0.08848917071220258
curriculum_hard,4,5,0.9103333333333333,0.04944019956809773
curriculum_hard,4,6,0.3586666666666667,0.016653327995729064
curriculum_hard,4,7,0.9473333333333334,0.023245071162148162
curriculum_hard,4,8,0.8913333333333333,0.04808672720547049
curriculum_hard,4,9,0.9199999999999999,0.02861817604250834
curriculum_hard,5,0,0.8066666666666666,0.04055038018728469
curriculum_hard,5,1,0.9606666666666666,0.004509249752822923
curriculum_hard,5,2,0.8796666666666667,0.035907288025320644
curriculum_hard,5,3,0.9473333333333332,0.007637626158259795
curriculum_hard,5,4,0.416,0.1154945886178223
curriculum_hard,5,5,0.9289999999999999,0.04765501022977536
curriculum_hard,5,6,0.39066666666666666,0.04077172222672638
