order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,grad_cosine_mean,grad_cosine_std,grad_variance,test_loss,test_accuracy,epoch_time_sec
random,2,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,1,0.9197657035350799,0.77035,2.7052643299102783,0.9965854287147522,0.33576884865760803,0.3676140010356903,8.305775547081755,0.706987376499176,0.8048,7.2865025997161865
random,2,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,2,0.653991858291626,0.82015,2.0925779342651367,0.7145994901657104,0.2656271159648895,0.3502667546272278,4.887994014555225,0.7280953577041626,0.8018,7.233917713165283
random,2,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,3,0.6286512235164642,0.82255,2.187807559967041,0.7203646302223206,0.27896177768707275,0.3969409465789795,5.304288316667237,0.6655131697654724,0.8276,7.217532634735107
random,2,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,4,0.5841516298294067,0.83245,2.1002097129821777,0.6780449748039246,0.23780521750450134,0.35413697361946106,4.869174189057629,0.7428271540641784,0.7868,7.231765508651733
random,2,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,5,0.600497430562973,0.83275,2.068432331085205,0.7895122170448303,0.2790753245353699,0.3870083689689636,4.900155047428933,0.8332837591171265,0.7975,7.236973762512207
random,2,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,6,0.6212324716567993,0.83195,2.1657814979553223,0.8228746652603149,0.30118998885154724,0.36692237854003906,5.366460058006139,0.9697334058761596,0.7903,7.258370876312256
random,2,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,7,0.5691337052822113,0.83455,2.005919933319092,0.7290037274360657,0.2880707085132599,0.36784034967422485,4.5539223879576936,0.593091307067871,0.8257,7.262438058853149
random,2,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,8,0.5710719940662384,0.8406,2.016495943069458,0.7620424628257751,0.2741992175579071,0.3860667049884796,4.645700011307911,0.8299318696975708,0.7679,7.251196622848511
random,2,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,9,0.5590094497680664,0.8434,2.0612051486968994,0.7288123965263367,0.30220773816108704,0.37878668308258057,4.7785058476662865,0.7907654956817627,0.7772,7.244581699371338
random,2,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,10,0.5442265053272247,0.84205,2.0251917839050293,0.7640056014060974,0.25720009207725525,0.3427194654941559,4.6841480123029,0.7023858992576599,0.8056,7.209004163742065
