order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,grad_cosine_mean,grad_cosine_std,grad_variance,test_loss,test_accuracy,epoch_time_sec
fixed_random,1,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,1,0.8355150728225708,0.77515,2.53817081451416,0.8972576856613159,0.25928232073783875,0.3976899981498718,7.241150441409231,0.8795814924716949,0.7667,7.326533317565918
fixed_random,1,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,2,0.6220538910865784,0.81765,2.1111793518066406,0.7052481770515442,0.24000217020511627,0.36563026905059814,4.9536126037994075,0.7727020874023437,0.7817,7.184643030166626
fixed_random,1,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,3,0.6026902113437652,0.8258,2.1084115505218506,0.6649060249328613,0.2824341654777527,0.36141836643218994,4.8868568626599815,0.8895422888755798,0.7682,7.2043797969818115
fixed_random,1,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,4,0.5883396479606628,0.8302,2.0868678092956543,0.6589170098304749,0.2941679358482361,0.34676775336265564,4.788859076207635,0.8018905375480652,0.7831,7.232284784317017
fixed_random,1,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,5,0.5618266534805297,0.83355,2.0051333904266357,0.6290677785873413,0.27878642082214355,0.3445705473423004,4.416027293006394,0.7584357961654663,0.7885,7.220012903213501
fixed_random,1,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,6,0.5485502429008484,0.83765,1.9717638492584229,0.6887049078941345,0.27828192710876465,0.33202555775642395,4.361927648712217,0.7262840106964111,0.7977,7.227868318557739
fixed_random,1,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,7,0.5257367913722992,0.84195,1.9057286977767944,0.6134894490242004,0.2624402940273285,0.34995102882385254,4.007984957207414,0.7376899535179138,0.7905,7.176531791687012
fixed_random,1,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,8,0.518062069606781,0.8428,1.9086006879806519,0.5981103181838989,0.269032746553421,0.351899117231369,4.000348722689523,0.7448786402702332,0.789,7.221283435821533
fixed_random,1,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,9,0.5171373459815979,0.84395,1.896059513092041,0.6144520044326782,0.26617786288261414,0.34206244349479675,3.9724486536987222,0.7627223177909851,0.7865,7.146326780319214
fixed_random,1,results_logistic_comparison,results_logistic_comparison,logistic_regression,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,False,10,0.5111500382900238,0.84645,1.8855671882629395,0.6163672208786011,0.26713505387306213,0.3478587865829468,3.93513607212997,0.7308676563262939,0.7933,7.2403199672698975
