order_mode,cosine_similarity_mean,cosine_similarity_std,count
curriculum_easy,0.4351602161924044,0.2975832319377563,15
curriculum_hard,0.46101719538370767,0.3615748604709088,15
fixed_random,0.19490233361721038,0.40588137893243714,15
label_block_random,0.39611668804039557,0.3377076409775226,15
label_sorted,0.4129447997858127,0.3269522675885877,15
random,0.2301511942098538,0.4168206907604797,15
