order_mode,seed,model,optimizer,epochs,batch_size,learning_rate,momentum,weight_decay,device,deterministic,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,test_loss,test_accuracy,epoch_time_sec
label_sorted,2,small_cnn,sgd,8,128,0.05,0.9,0.0005,cpu,False,1,,0.57685,,,,0.1,11.195455312728882
label_sorted,2,small_cnn,sgd,8,128,0.05,0.9,0.0005,cpu,False,2,,0.1,,,,0.1,9.791858673095703
label_sorted,2,small_cnn,sgd,8,128,0.05,0.9,0.0005,cpu,False,3,,0.1,,,,0.1,9.897552490234375
label_sorted,2,small_cnn,sgd,8,128,0.05,0.9,0.0005,cpu,False,4,,0.1,,,,0.1,9.967974185943604
label_sorted,2,small_cnn,sgd,8,128,0.05,0.9,0.0005,cpu,False,5,,0.1,,,,0.1,10.018118858337402
label_sorted,2,small_cnn,sgd,8,128,0.05,0.9,0.0005,cpu,False,6,,0.1,,,,0.1,9.768381595611572
label_sorted,2,small_cnn,sgd,8,128,0.05,0.9,0.0005,cpu,False,7,,0.1,,,,0.1,9.768138408660889
label_sorted,2,small_cnn,sgd,8,128,0.05,0.9,0.0005,cpu,False,8,,0.1,,,,0.1,10.038845539093018
