order_mode,seed,model,optimizer,epochs,batch_size,learning_rate,momentum,weight_decay,device,deterministic,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,test_loss,test_accuracy,epoch_time_sec
label_block_random,2,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,1,2368030947077677.0,0.47705,17778824183808.0,222057442836480.0,3.640359464645386,0.1,12.2658052444458
label_block_random,2,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,2,3.3055215428352356,0.036,1.1560159921646118,0.1934179961681366,3.4059919105529786,0.1,11.507879734039307
label_block_random,2,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,3,3.2591455209732056,0.0472,1.1501920223236084,0.1963520050048828,3.5455842796325685,0.1,11.783134937286377
label_block_random,2,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,4,3.288440993976593,0.0344,1.1536959409713745,0.19580380618572235,3.456866349029541,0.1,11.542489051818848
label_block_random,2,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,5,3.2658900353431704,0.0424,1.150653600692749,0.19672830402851105,3.53532244682312,0.1,11.070460796356201
label_block_random,2,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,6,3.1426256846427916,0.0616,1.1334047317504883,0.21852628886699677,3.427637685394287,0.1,11.224457025527954
label_block_random,2,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,7,3.102802698469162,0.1304,1.0661038160324097,0.3658004403114319,3.579127705383301,0.1,11.21630072593689
label_block_random,2,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,8,3.264725824546814,0.0536,1.1503138542175293,0.19882646203041077,3.6164718448638915,0.1,11.365022420883179
label_block_random,2,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,9,3.158276914024353,0.0536,1.138277530670166,0.21080118417739868,3.4052151527404786,0.1,11.9358971118927
label_block_random,2,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,10,3.2630405663490296,0.0472,1.1505095958709717,0.1986575722694397,3.454261130142212,0.1,11.796841382980347
