order_mode,seed,model,optimizer,epochs,batch_size,learning_rate,momentum,weight_decay,device,deterministic,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,test_loss,test_accuracy,epoch_time_sec
label_sorted,0,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,1,,0.48305,,,,0.1,10.706417560577393
label_sorted,0,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,2,,0.1,,,,0.1,9.077699899673462
label_sorted,0,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,3,,0.1,,,,0.1,10.37718677520752
label_sorted,0,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,4,,0.1,,,,0.1,10.605507135391235
label_sorted,0,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,5,,0.1,,,,0.1,9.711968183517456
label_sorted,0,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,6,,0.1,,,,0.1,9.468957662582397
label_sorted,0,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,7,,0.1,,,,0.1,9.210032224655151
label_sorted,0,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,8,,0.1,,,,0.1,9.383154392242432
label_sorted,0,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,9,,0.1,,,,0.1,9.466478109359741
label_sorted,0,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,10,,0.1,,,,0.1,9.426167964935303
